Condition,Category,Triggering Genetics,Triggering Parameters
Atopic Dermatitis/Eczema,Significant Pattern,PRS:atopicdermatitis,eosinophils=9.0 (>0.42)
COPD,Early Pattern,,"crp=4.5 (>3.0), eosinophils=9.0 (>0.42)"
Inflammatory Bowel Disease,Early Pattern,PRS:ibd,crp=4.5 (>3.0)
Non Alcoholic Fatty Liver Disease,Early Pattern,PRS:nafld,ast=48.0 (>10)
Osteoarthritis,Early Pattern,PRS:osteoarthritis,
Parkinson's Disease,Significant Pattern,PRS:parkinson,"ldl_c=205.0 (>=160), triglycerides=260.0 (>=200), hdl_c=35.0 (<40), crp=4.5 (>3.0)"
Psoriasis,Typical,PRS:psoriasis,"esr=35.0 (>=16), crp=4.5 (>3.0)"
Rhinitis,Early Pattern,PRS:rhinitis,eosinophils=9.0 (>0.4)
Coronary Artery Disease,Significant Pattern,PRS:cad,"ldl_c=205.0 (>=160), hdl_c=35.0 (<40), triglycerides=260.0 (>=150), hba1c=6.2 (>=5.7)"
